TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1597175850150	0.040676	-55.860008	0.135135	0.707540	0.001203	0.001172	-0.706671	1.000000	0.000000	0.000000	3	0	4300.505371	17.180172	img__0_1597175850149116300.jpg
1597175850365	0.042791	-57.585014	0.135119	0.707549	0.001241	0.001210	-0.706662	1.000000	0.000000	0.000000	3	0	4335.030762	17.388794	img__0_1597175850364472600.jpg
1597175850588	0.044968	-59.331100	0.135137	0.707558	0.001197	0.001166	-0.706654	1.000000	0.000000	0.000000	3	0	4370.463379	17.606476	img__0_1597175850586923300.jpg
1597175850804	0.047222	-61.098721	0.135131	0.707566	0.001213	0.001182	-0.706645	1.000000	0.000000	0.000000	3	0	4407.174316	17.815367	img__0_1597175850803014600.jpg
1597175851016	0.049541	-62.887314	0.135140	0.707575	0.001190	0.001159	-0.706636	1.000000	0.000000	0.000000	3	0	4444.544434	18.027721	img__0_1597175851015257500.jpg
1597175851233	0.051936	-64.697014	0.135138	0.707584	0.001194	0.001163	-0.706627	1.000000	0.000000	0.000000	3	0	4482.683105	18.235931	img__0_1597175851232542100.jpg
1597175851432	0.054399	-66.527557	0.135143	0.707593	0.001182	0.001152	-0.706618	1.000000	0.000000	0.000000	3	0	4521.280762	18.444714	img__0_1597175851431173300.jpg
1597175851631	0.056941	-68.378906	0.135143	0.707602	0.001180	0.001151	-0.706609	1.000000	0.000000	0.000000	3	0	4560.320313	18.651550	img__0_1597175851630505800.jpg
1597175851862	0.059553	-70.250931	0.135146	0.707611	0.001174	0.001145	-0.706600	1.000000	0.000000	0.000000	3	0	4599.653320	18.857870	img__0_1597175851860890500.jpg
1597175852079	0.062244	-72.143547	0.135147	0.707620	0.001171	0.001142	-0.706591	1.000000	0.000000	0.000000	3	0	4639.225586	19.063051	img__0_1597175852078681300.jpg
1597175852293	0.065012	-74.056656	0.135148	0.707629	0.001167	0.001138	-0.706582	1.000000	0.000000	0.000000	3	0	4678.958008	19.267456	img__0_1597175852292377300.jpg
1597175852509	0.067856	-75.990166	0.135150	0.707638	0.001164	0.001135	-0.706573	1.000000	0.000000	0.000000	3	0	4718.801270	19.470985	img__0_1597175852508665700.jpg
1597175852722	0.070781	-77.944016	0.135151	0.707647	0.001160	0.001132	-0.706564	1.000000	0.000000	0.000000	3	0	4758.706055	19.673719	img__0_1597175852720844800.jpg
1597175852927	0.073787	-79.918106	0.135152	0.707656	0.001158	0.001129	-0.706555	1.000000	0.000000	0.000000	3	0	4798.636719	19.875666	img__0_1597175852926394800.jpg
1597175853138	0.076875	-81.912369	0.135153	0.707666	0.001155	0.001127	-0.706546	1.000000	0.000000	0.000000	3	0	4838.557617	20.076862	img__0_1597175853136576400.jpg
1597175853349	0.080044	-83.926727	0.135154	0.707675	0.001152	0.001124	-0.706536	1.000000	0.000000	0.000000	3	0	4878.443848	20.277321	img__0_1597175853348237200.jpg
1597175853566	0.083293	-85.958115	0.135243	0.707684	0.000930	0.000902	-0.706528	1.000000	0.000000	0.000000	0	0	4895.291016	20.323812	img__0_1597175853564466600.jpg
1597175853776	0.086587	-87.988876	0.135356	0.707687	0.000641	0.000612	-0.706525	1.000000	0.000000	0.000000	4	0	4285.401367	20.292620	img__0_1597175853775433700.jpg
1597175853985	0.089919	-90.026352	0.135306	0.707691	0.000771	0.000741	-0.706521	1.000000	0.000000	0.000000	4	0	4140.385254	20.529928	img__0_1597175853984066000.jpg
1597175854184	0.093323	-92.087204	0.135231	0.707699	0.000958	0.000927	-0.706512	1.000000	0.000000	0.000000	4	0	4029.766602	20.752842	img__0_1597175854183216200.jpg
1597175854398	0.096807	-94.169731	0.135199	0.707709	0.001041	0.001010	-0.706502	1.000000	0.000000	0.000000	4	0	3944.340332	20.962980	img__0_1597175854397579400.jpg
1597175854616	0.100378	-96.272789	0.135183	0.707719	0.001080	0.001050	-0.706493	0.000000	0.000000	0.000000	4	0	3545.649658	21.158152	img__0_1597175854615233600.jpg
1597175854825	0.104033	-98.393280	0.135213	0.707728	0.001004	0.000975	-0.706483	0.000000	0.000000	0.000000	4	0	2727.070557	21.275537	img__0_1597175854824744200.jpg
1597175855018	0.107754	-100.521118	0.135312	0.707735	0.000754	0.000726	-0.706478	0.000000	0.000000	0.000000	4	0	2228.791016	21.276196	img__0_1597175855017129700.jpg
1597175855231	0.111511	-102.645958	0.135435	0.707737	0.000442	0.000413	-0.706476	0.000000	0.000000	0.000000	4	0	1942.716919	21.198605	img__0_1597175855230096800.jpg
1597175855446	0.115269	-104.761475	0.135549	0.707736	0.000154	0.000122	-0.706477	0.000000	0.000000	0.000000	4	0	1776.015625	21.078535	img__0_1597175855445443800.jpg
1597175855658	0.119006	-106.864197	0.135643	0.707732	-0.000082	-0.000118	-0.706481	0.000000	0.000000	0.000000	0	0	1684.731201	20.935110	img__0_1597175855656372000.jpg
1597175855841	0.122717	-108.957527	0.135653	0.707729	-0.000107	-0.000146	-0.706484	0.000000	0.000000	0.000000	0	0	1627.115845	20.918560	img__0_1597175855839446700.jpg
1597175856029	0.126414	-111.048279	0.135627	0.707728	-0.000040	-0.000082	-0.706485	0.000000	0.000000	0.000000	3	0	1622.764771	20.793476	img__0_1597175856028883800.jpg
1597175856262	0.130054	-113.117378	0.135815	0.707722	-0.000516	-0.000561	-0.706491	0.000000	0.000000	0.000000	3	0	1707.271606	20.518827	img__0_1597175856260637500.jpg
1597175856466	0.133621	-115.160034	0.135901	0.707712	-0.000732	-0.000780	-0.706500	0.000000	0.000000	0.000000	3	0	1717.853638	20.256405	img__0_1597175856464437000.jpg
1597175856646	0.137097	-117.176796	0.135960	0.707702	-0.000879	-0.000930	-0.706510	0.000000	0.000000	0.000000	3	0	1719.822266	20.000097	img__0_1597175856645056500.jpg
